,gold_ratio = 0.002,gold_ratio = 0.01,gold_ratio = 0.006,gold_ratio = 0.014,gold_ratio = 0.18,Date
0,1049.74692537697,1049.7411295498,1049.73533731452,1049.7295486686,1049.72376360946,11/3/16
1,1062.5202571748,1062.51449029959,1062.50872701293,1062.50296731223,1062.49721119495,11/4/16
2,1073.26898762241,1073.26319867403,1073.25741333334,1073.25163159774,1073.24585346465,11/5/16
3,1070.22773795346,1070.22195525048,1070.21617614975,1070.21040064872,1070.20462874479,11/6/16
4,1068.74550348711,1068.73972578383,1068.73395167925,1068.72818117079,1068.72241425588,11/7/16
5,1074.97198381874,1074.9697649929,1074.96754808141,1074.96533308259,1074.96311999475,11/8/16
6,1075.82152569894,1075.81930514069,1075.81708649832,1075.81486977011,1075.8126549544,11/9/16
7,1066.80164396665,1066.79944195849,1066.79724185014,1066.79504363991,1066.79284732614,11/10/16
8,1045.47163200759,1045.46946406932,1045.467297994,1045.46513377997,1045.46297142561,11/11/16
9,1045.47043827375,1045.46827033794,1045.46610426507,1045.46394005349,1045.46177770157,11/12/16
10,1031.29462903239,1031.29249049242,1031.29035379013,1031.2882189239,1031.28608589211,11/13/16
11,1037.69409051909,1037.6919387089,1037.68978874779,1037.68764063414,1037.68549436632,11/14/16
12,1038.87331713012,1038.87116287463,1038.86901047033,1038.86685991558,1038.86471120875,11/15/16
13,1075.06848184395,1075.06017085754,1075.05186560678,1075.04356608722,1075.0352722944,11/16/16
14,1090.1429905595,1090.13466384098,1090.12634289042,1090.11802770335,1090.10971827525,11/17/16
15,1092.28094417885,1092.27259845388,1092.26425850946,1092.2559243411,1092.24759594429,11/18/16
16,1070.55936648322,1070.55111285293,1070.5428649235,1070.5346226905,1070.52638614949,11/19/16
17,1070.78293187906,1070.7746773009,1070.76642842443,1070.7581852452,1070.74994775878,11/20/16
18,1070.72628323558,1070.71803501575,1070.70979249448,1070.70155566733,1070.69332452987,11/21/16
19,1070.5697089153,1070.56154364849,1070.55338404039,1070.5452300866,1070.53708178269,11/22/16
20,1070.47846122617,1070.47029405193,1070.46213253715,1070.45397667744,1070.44582646837,11/23/16
21,1070.45158764038,1070.44341568555,1070.43524939242,1070.4270887566,1070.41893377365,11/24/16
22,1070.39814317865,1070.38997359177,1070.38180966538,1070.37365139506,1070.36549877641,11/25/16
23,1070.26334292414,1070.25517390878,1070.24701055341,1070.23885285363,1070.23070080502,11/26/16
