Date,USD (PM),pred
9/12/16,1324.6,0.0
9/13/16,1323.65,
9/14/16,1321.75,1317.8538818359375
9/15/16,1310.8,1316.4630126953125
9/16/16,1308.35,1319.3538818359375
9/19/16,1314.85,1318.0982666015625
9/20/16,1313.8,1309.61279296875
9/21/16,1326.1,1312.33642578125
9/22/16,1339.1,1319.568359375
9/23/16,1338.65,1321.2979736328125
9/26/16,1340.5,1330.2425537109375
9/27/16,1327.0,1337.3759765625
9/28/16,1322.5,1331.6729736328125
9/29/16,1318.1,1334.8057861328125
9/30/16,1322.5,1319.833251953125
10/3/16,1313.3,1307.655029296875
10/4/16,1283.3,1299.0947265625
10/5/16,1269.4,1297.71337890625
10/6/16,1254.5,1286.722412109375
10/7/16,1258.75,1264.3948974609375
10/10/16,1259.5,1260.93408203125
10/11/16,1253.45,1255.1885986328125
10/12/16,1256.5,1258.86279296875
10/13/16,1261.05,1259.19921875
10/14/16,1251.75,1254.545166015625
10/17/16,1254.8,1255.6644287109375
10/18/16,1258.2,1255.8792724609375
10/19/16,1269.05,1252.3106689453125
10/20/16,1271.65,1257.4271240234375
10/21/16,1266.05,1261.2576904296875
10/24/16,1265.55,1267.4664306640625
10/25/16,1269.4,1271.791748046875
10/26/16,1270.5,1266.2928466796875
10/27/16,1266.25,1265.2435302734375
10/28/16,1273.0,1267.8076171875
10/31/16,1272.0,1267.408935546875
11/1/16,1288.45,1269.7159423828125
11/2/16,1303.75,1279.790283203125
11/3/16,1301.0,1279.5211181640625
11/4/16,1302.8,1291.82470703125
11/7/16,1283.05,1301.391357421875
11/8/16,1282.35,1294.31787109375
11/9/16,1281.4,1292.12890625
11/10/16,1267.5,1262.5140380859375
11/11/16,1236.45,1254.87744140625
11/14/16,1213.6,1262.8409423828125
11/15/16,1226.95,1246.8887939453125
11/16/16,1229.2,1226.0125732421875
11/17/16,1226.75,1216.269775390625
11/18/16,1211.0,1225.721435546875
11/21/16,1214.25,1224.0611572265625
11/22/16,1212.25,1212.6788330078125
11/23/16,1185.35,1197.9329833984375
11/24/16,1186.1,1207.998046875
11/25/16,1187.7,1200.0916748046875
11/28/16,1187.0,1185.9144287109375
11/29/16,1186.55,1184.1221923828125
11/30/16,1178.1,1180.69970703125
12/1/16,1161.85,1182.2071533203125
12/2/16,1173.5,1179.396484375
12/5/16,1162.2,1175.137451171875
12/6/16,1172.5,1159.6546630859375
12/7/16,1177.65,1167.0936279296875
12/8/16,1171.05,1164.386962890625
12/9/16,1163.6,1170.335205078125
12/12/16,1156.1,1173.5228271484375
12/13/16,1158.55,1165.697509765625
12/14/16,1162.25,1150.796875
12/15/16,1126.95,1145.0445556640625
12/16/16,1131.6,1153.813232421875
12/19/16,1136.25,1149.59619140625
12/20/16,1125.7,1128.5284423828125
12/21/16,1133.65,1129.885986328125
12/22/16,1131.35,1137.141845703125
12/28/16,1134.6,1126.76904296875
12/29/16,1145.9,1136.9332275390625
1/3/17,1151.0,1136.3831787109375
1/4/17,1164.25,1147.1964111328125
1/5/17,1176.7,1158.4189453125
1/6/17,1175.85,1161.359130859375
1/9/17,1178.5,1173.825927734375
1/10/17,1189.5,1176.2718505859375
1/11/17,1178.55,1172.9730224609375
1/12/17,1205.05,1172.4229736328125
1/13/17,1190.35,1179.6241455078125
1/16/17,1203.0,1184.5556640625
1/17/17,1216.05,1194.7762451171875
1/18/17,1214.75,1191.93310546875
1/19/17,1196.05,1204.9969482421875
1/20/17,1200.55,1217.0201416015625
1/23/17,1212.85,1216.5748291015625
1/24/17,1216.8,1199.0577392578125
1/25/17,1195.0,1199.377685546875
1/26/17,1189.7,1208.0128173828125
1/27/17,1184.85,1209.4365234375
1/30/17,1192.8,1195.0068359375
1/31/17,1212.8,1183.63330078125
2/1/17,1203.65,1190.633544921875
2/2/17,1221.95,1200.5013427734375
2/3/17,1215.2,1205.5428466796875
2/6/17,1226.75,1209.1983642578125
2/7/17,1231.0,1223.659423828125
2/8/17,1242.1,1216.4810791015625
2/9/17,1236.8,1228.7783203125
2/10/17,1228.3,1230.844482421875
2/13/17,1222.25,1242.0357666015625
2/14/17,1230.75,1231.0185546875
2/15/17,1224.4,1225.2840576171875
2/16/17,1240.55,1223.7476806640625
2/17/17,1241.95,1228.4625244140625
2/20/17,1237.3,1225.1964111328125
2/21/17,1233.2,1238.6282958984375
2/22/17,1236.65,1244.7559814453125
2/23/17,1247.9,1236.0509033203125
2/24/17,1253.65,1237.5142822265625
2/27/17,1257.2,1243.7496337890625
2/28/17,1255.6,1248.337890625
3/1/17,1240.4,1248.9261474609375
3/2/17,1238.1,1248.3055419921875
3/3/17,1226.5,1248.1446533203125
3/6/17,1230.95,1230.1177978515625
3/7/17,1216.65,1229.1468505859375
3/8/17,1209.2,1218.0982666015625
3/9/17,1206.55,1221.9588623046875
3/10/17,1202.65,1207.6961669921875
3/13/17,1204.2,1205.4853515625
3/14/17,1204.6,1203.2435302734375
3/15/17,1198.8,1201.3319091796875
3/16/17,1229.35,1198.8126220703125
3/17/17,1229.6,1203.7698974609375
3/20/17,1232.4,1211.4149169921875
3/21/17,1241.6,1237.1082763671875
3/22/17,1249.05,1234.20947265625
3/23/17,1247.5,1238.78125
3/24/17,1247.5,1245.7684326171875
3/27/17,1257.55,1247.5003662109375
3/28/17,1257.25,1246.8140869140625
3/29/17,1251.1,1247.81591796875
3/30/17,1248.8,1256.6484375
3/31/17,1244.85,1253.76416015625
4/3/17,1247.25,1251.62255859375
4/4/17,1257.65,1250.5880126953125
4/5/17,1245.8,1241.15087890625
4/6/17,1252.5,1245.1297607421875
4/7/17,1266.45,1255.9658203125
4/10/17,1250.05,1246.8206787109375
4/11/17,1252.9,1244.4140625
4/12/17,1274.3,1254.7288818359375
4/13/17,1284.15,1247.3887939453125
4/18/17,1278.95,1262.90869140625
4/19/17,1279.05,1279.07373046875
4/20/17,1282.1,1279.3134765625
4/21/17,1281.85,1274.9920654296875
4/24/17,1269.4,1275.6353759765625
4/25/17,1267.8,1276.787109375
4/26/17,1261.85,1274.8834228515625
4/27/17,1262.8,1266.0941162109375
4/28/17,1266.45,1262.9031982421875
5/2/17,1255.45,1257.5460205078125
5/3/17,1250.3,1251.795654296875
5/4/17,1228.45,1252.2606201171875
5/5/17,1228.05,1242.873046875
5/8/17,1229.8,1237.46533203125
5/9/17,1220.4,1224.628662109375
5/10/17,1222.95,1226.8023681640625
5/11/17,1223.15,1232.2252197265625
5/12/17,1231.25,1220.08984375
5/15/17,1233.3,1226.0205078125
5/16/17,1234.2,1228.0440673828125
5/17/17,1257.4,1236.6343994140625
5/18/17,1255.9,1234.3621826171875
5/19/17,1252.0,1243.4671630859375
5/22/17,1258.85,1253.6275634765625
5/23/17,1260.2,1254.1737060546875
5/24/17,1252.55,1251.9169921875
5/25/17,1256.95,1258.03857421875
5/26/17,1265.05,1255.6639404296875
5/30/17,1262.7,1253.8624267578125
5/31/17,1266.2,1260.719482421875
6/1/17,1264.85,1263.0252685546875
6/2/17,1274.95,1263.772705078125
6/5/17,1279.95,1269.762939453125
6/6/17,1293.5,1271.2991943359375
6/7/17,1291.0,1275.3568115234375
6/8/17,1273.1,1277.8123779296875
6/9/17,1266.55,1288.68212890625
6/12/17,1266.4,1278.8101806640625
6/13/17,1262.0,1269.164306640625
6/14/17,1275.5,1263.371826171875
6/15/17,1254.55,1263.009033203125
6/16/17,1255.4,1260.971923828125
6/19/17,1248.15,1268.9638671875
6/20/17,1242.2,1246.37939453125
6/21/17,1242.5,1254.36474609375
6/22/17,1250.8,1248.633056640625
6/23/17,1255.7,1241.6607666015625
6/26/17,1245.25,1243.3284912109375
6/27/17,1249.55,1249.5894775390625
6/28/17,1248.0,1254.619384765625
6/29/17,1243.5,1244.450439453125
6/30/17,1242.25,1243.5594482421875
7/3/17,1229.25,1240.161865234375
7/4/17,1223.75,1233.9051513671875
7/5/17,1220.3,1235.14111328125
7/6/17,1224.9,1222.4405517578125
7/7/17,1215.65,1219.920166015625
7/10/17,1211.9,1217.3929443359375
7/11/17,1211.05,1224.7333984375
7/12/17,1218.8,1214.5882568359375
7/13/17,1218.9,1211.4713134765625
7/14/17,1230.3,1215.9525146484375
7/17/17,1234.1,1226.990234375
7/18/17,1240.75,1226.2984619140625
7/19/17,1242.15,1235.349365234375
7/20/17,1238.7,1236.9012451171875
7/21/17,1248.55,1240.012451171875
7/24/17,1255.55,1240.9129638671875
7/25/17,1254.4,1240.850830078125
7/26/17,1248.1,1245.8740234375
7/27/17,1261.1,1251.3934326171875
7/28/17,1264.9,1251.54150390625
7/31/17,1267.55,1254.6553955078125
8/1/17,1270.95,1265.9093017578125
8/2/17,1269.6,1266.8896484375
8/3/17,1268.1,1265.5362548828125
8/4/17,1257.7,1266.6971435546875
8/7/17,1258.0,1266.38134765625
8/8/17,1261.8,1270.31884765625
8/9/17,1271.05,1257.770263671875
8/10/17,1284.4,1264.435546875
8/11/17,1286.1,1268.728515625
8/14/17,1282.3,1273.720458984375
8/15/17,1270.3,1283.5277099609375
8/16/17,1272.75,1285.7109375
8/17/17,1285.15,1286.49560546875
8/18/17,1295.8,1271.3431396484375
8/21/17,1292.9,1277.398681640625
8/22/17,1284.2,1288.0206298828125
8/23/17,1286.65,1296.0458984375
8/24/17,1289.0,1289.2764892578125
8/25/17,1285.3,1284.9556884765625
8/29/17,1318.65,1280.8682861328125
8/30/17,1308.5,1280.2803955078125
8/31/17,1311.75,1295.9737548828125
9/1/17,1320.4,1309.8026123046875
9/4/17,1333.1,1310.114990234375
9/5/17,1335.55,1320.468994140625
9/6/17,1337.85,1331.547607421875
9/7/17,1343.5,1339.1636962890625
9/8/17,1346.25,1335.478759765625
9/11/17,1334.2,1335.1123046875
9/12/17,1326.5,1339.446044921875
9/13/17,1327.55,1338.650634765625
